id,datetime,temperature,conv_temp,weather_info,valid_from,valid_to,is_current
1,2025-06-21 18:00:00,302.26,29.11,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-21 17:47:50.001823,,True
2,2025-06-21 21:00:00,298.55,25.40,"{'weather': 'Rain', 'description': 'light rain'}",2025-06-21 17:47:50.039043,,True
3,2025-06-22 00:00:00,292.55,19.40,"{'weather': 'Rain', 'description': 'light rain'}",2025-06-21 17:47:50.041963,,True
4,2025-06-22 03:00:00,289.01,15.86,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-21 17:47:50.044770,,True
5,2025-06-22 06:00:00,290.09,16.94,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-21 17:47:50.048040,,True
6,2025-06-22 09:00:00,295.90,22.75,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-21 17:47:50.052849,2025-06-22 08:13:29.250014,False
7,2025-06-22 12:00:00,299.43,26.28,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-21 17:47:50.058549,2025-06-22 08:13:29.268868,False
8,2025-06-22 15:00:00,296.25,23.10,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-21 17:47:50.061567,2025-06-22 08:13:29.271783,False
9,2025-06-22 18:00:00,295.98,22.83,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-21 17:47:50.063830,2025-06-22 08:13:29.275500,False
44,2025-06-22 18:00:00,294.06,20.91,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-22 08:13:29.275500,,True
10,2025-06-22 21:00:00,292.03,18.88,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-21 17:47:50.069881,2025-06-22 08:13:29.278998,False
45,2025-06-22 21:00:00,289.43,16.28,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-22 08:13:29.278998,,True
11,2025-06-23 00:00:00,290.59,17.44,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-21 17:47:50.073276,2025-06-22 08:13:29.282263,False
46,2025-06-23 00:00:00,289.21,16.06,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-22 08:13:29.282263,,True
12,2025-06-23 03:00:00,289.24,16.09,"{'weather': 'Rain', 'description': 'light rain'}",2025-06-21 17:47:50.076011,2025-06-22 08:13:29.285693,False
47,2025-06-23 03:00:00,289.05,15.90,"{'weather': 'Rain', 'description': 'light rain'}",2025-06-22 08:13:29.285693,,True
13,2025-06-23 06:00:00,288.17,15.02,"{'weather': 'Rain', 'description': 'light rain'}",2025-06-21 17:47:50.078259,2025-06-22 08:13:29.288440,False
48,2025-06-23 06:00:00,288.50,15.35,"{'weather': 'Rain', 'description': 'light rain'}",2025-06-22 08:13:29.288440,,True
14,2025-06-23 09:00:00,290.91,17.76,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-21 17:47:50.080569,2025-06-22 08:13:29.291415,False
49,2025-06-23 09:00:00,290.57,17.42,"{'weather': 'Clouds', 'description': 'scattered clouds'}",2025-06-22 08:13:29.291415,,True
15,2025-06-23 12:00:00,294.90,21.75,"{'weather': 'Clear', 'description': 'clear sky'}",2025-06-21 17:47:50.083184,2025-06-22 08:13:29.294806,False
50,2025-06-23 12:00:00,294.56,21.41,"{'weather': 'Clouds', 'description': 'scattered clouds'}",2025-06-22 08:13:29.294806,,True
16,2025-06-23 15:00:00,296.16,23.01,"{'weather': 'Clear', 'description': 'clear sky'}",2025-06-21 17:47:50.086880,2025-06-22 08:13:29.297780,False
51,2025-06-23 15:00:00,296.24,23.09,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-22 08:13:29.297780,,True
17,2025-06-23 18:00:00,294.13,20.98,"{'weather': 'Clear', 'description': 'clear sky'}",2025-06-21 17:47:50.089898,2025-06-22 08:13:29.311061,False
52,2025-06-23 18:00:00,293.92,20.77,"{'weather': 'Clear', 'description': 'clear sky'}",2025-06-22 08:13:29.311061,,True
18,2025-06-23 21:00:00,290.20,17.05,"{'weather': 'Clear', 'description': 'clear sky'}",2025-06-21 17:47:50.092221,2025-06-22 08:13:29.481242,False
53,2025-06-23 21:00:00,290.16,17.01,"{'weather': 'Clouds', 'description': 'scattered clouds'}",2025-06-22 08:13:29.481242,,True
19,2025-06-24 00:00:00,287.55,14.40,"{'weather': 'Clouds', 'description': 'scattered clouds'}",2025-06-21 17:47:50.094415,2025-06-22 08:13:29.484640,False
54,2025-06-24 00:00:00,287.63,14.48,"{'weather': 'Clouds', 'description': 'scattered clouds'}",2025-06-22 08:13:29.484640,,True
20,2025-06-24 03:00:00,286.96,13.81,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-21 17:47:50.096385,2025-06-22 08:13:29.489558,False
55,2025-06-24 03:00:00,286.80,13.65,"{'weather': 'Clouds', 'description': 'scattered clouds'}",2025-06-22 08:13:29.489558,,True
21,2025-06-24 06:00:00,288.24,15.09,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-21 17:47:50.098883,2025-06-22 08:13:29.493196,False
56,2025-06-24 06:00:00,289.18,16.03,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-22 08:13:29.493196,,True
22,2025-06-24 09:00:00,292.66,19.51,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-21 17:47:50.101150,2025-06-22 08:13:29.501338,False
57,2025-06-24 09:00:00,292.25,19.10,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-22 08:13:29.501338,,True
23,2025-06-24 12:00:00,294.27,21.12,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-21 17:47:50.103106,2025-06-22 08:13:29.511280,False
24,2025-06-24 15:00:00,296.13,22.98,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-21 17:47:50.105140,2025-06-22 08:13:29.519093,False
25,2025-06-24 18:00:00,295.84,22.69,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-21 17:47:50.107641,2025-06-22 08:13:29.523230,False
26,2025-06-24 21:00:00,293.54,20.39,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-21 17:47:50.109560,2025-06-22 08:13:29.532769,False
27,2025-06-25 00:00:00,292.40,19.25,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-21 17:47:50.111477,2025-06-22 08:13:29.538585,False
28,2025-06-25 03:00:00,290.92,17.77,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-21 17:47:50.113458,2025-06-22 08:13:29.545920,False
29,2025-06-25 06:00:00,291.52,18.37,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-21 17:47:50.115986,2025-06-22 08:13:29.550328,False
30,2025-06-25 09:00:00,296.29,23.14,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-21 17:47:50.118310,2025-06-22 08:13:29.574935,False
32,2025-06-25 15:00:00,295.86,22.71,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-21 17:47:50.122695,2025-06-22 08:13:29.616329,False
33,2025-06-25 18:00:00,294.93,21.78,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-21 17:47:50.125305,2025-06-22 08:13:29.618683,False
34,2025-06-25 21:00:00,291.86,18.71,"{'weather': 'Rain', 'description': 'light rain'}",2025-06-21 17:47:50.127699,2025-06-22 08:13:29.621216,False
35,2025-06-26 00:00:00,291.02,17.87,"{'weather': 'Rain', 'description': 'light rain'}",2025-06-21 17:47:50.130903,2025-06-22 08:13:29.623908,False
36,2025-06-26 03:00:00,290.32,17.17,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-21 17:47:50.141875,2025-06-22 08:13:29.626803,False
37,2025-06-26 06:00:00,289.74,16.59,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-21 17:47:50.144233,2025-06-22 08:13:29.631668,False
38,2025-06-26 09:00:00,293.68,20.53,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-21 17:47:50.146522,2025-06-22 08:13:29.637534,False
39,2025-06-26 12:00:00,293.22,20.07,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-21 17:47:50.149249,2025-06-22 08:13:29.640416,False
40,2025-06-26 15:00:00,293.06,19.91,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-21 17:47:50.151875,2025-06-22 08:13:29.645459,False
41,2025-06-22 09:00:00,292.77,19.62,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-22 08:13:29.250014,2025-06-22 08:36:28.549502,False
43,2025-06-22 15:00:00,293.66,20.51,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-22 08:13:29.271783,2025-06-22 08:36:28.583533,False
58,2025-06-24 12:00:00,296.96,23.81,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-22 08:13:29.511280,,True
59,2025-06-24 15:00:00,298.66,25.51,"{'weather': 'Clouds', 'description': 'scattered clouds'}",2025-06-22 08:13:29.519093,,True
60,2025-06-24 18:00:00,298.42,25.27,"{'weather': 'Clouds', 'description': 'scattered clouds'}",2025-06-22 08:13:29.523230,,True
61,2025-06-24 21:00:00,293.79,20.64,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-22 08:13:29.532769,,True
62,2025-06-25 00:00:00,290.83,17.68,"{'weather': 'Clear', 'description': 'clear sky'}",2025-06-22 08:13:29.538585,,True
63,2025-06-25 03:00:00,289.20,16.05,"{'weather': 'Clear', 'description': 'clear sky'}",2025-06-22 08:13:29.545920,,True
64,2025-06-25 06:00:00,290.08,16.93,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-22 08:13:29.550328,,True
65,2025-06-25 09:00:00,295.46,22.31,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-22 08:13:29.574935,,True
31,2025-06-25 12:00:00,299.95,26.80,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-21 17:47:50.120290,2025-06-22 08:13:29.609044,False
66,2025-06-25 12:00:00,299.72,26.57,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-22 08:13:29.609044,,True
67,2025-06-25 15:00:00,299.78,26.63,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-22 08:13:29.616329,,True
68,2025-06-25 18:00:00,297.92,24.77,"{'weather': 'Clouds', 'description': 'overcast clouds'}",2025-06-22 08:13:29.618683,,True
69,2025-06-25 21:00:00,293.92,20.77,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-22 08:13:29.621216,,True
70,2025-06-26 00:00:00,290.86,17.71,"{'weather': 'Rain', 'description': 'light rain'}",2025-06-22 08:13:29.623908,,True
71,2025-06-26 03:00:00,289.85,16.70,"{'weather': 'Rain', 'description': 'light rain'}",2025-06-22 08:13:29.626803,,True
72,2025-06-26 06:00:00,289.94,16.79,"{'weather': 'Rain', 'description': 'moderate rain'}",2025-06-22 08:13:29.631668,,True
73,2025-06-26 09:00:00,292.39,19.24,"{'weather': 'Rain', 'description': 'light rain'}",2025-06-22 08:13:29.637534,,True
74,2025-06-26 12:00:00,296.73,23.58,"{'weather': 'Clouds', 'description': 'scattered clouds'}",2025-06-22 08:13:29.640416,,True
75,2025-06-26 15:00:00,296.80,23.65,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-22 08:13:29.645459,,True
76,2025-06-26 18:00:00,293.64,20.49,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-22 08:13:29.648233,,True
77,2025-06-26 21:00:00,290.17,17.02,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-22 08:13:29.650860,,True
78,2025-06-27 00:00:00,288.10,14.95,"{'weather': 'Clouds', 'description': 'scattered clouds'}",2025-06-22 08:13:29.653430,,True
79,2025-06-27 03:00:00,287.13,13.98,"{'weather': 'Clouds', 'description': 'scattered clouds'}",2025-06-22 08:13:29.656117,,True
80,2025-06-27 06:00:00,288.37,15.22,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-22 08:13:29.661080,,True
42,2025-06-22 12:00:00,295.72,22.57,"{'weather': 'Clouds', 'description': 'scattered clouds'}",2025-06-22 08:13:29.268868,2025-06-22 08:36:28.579577,False
81,2025-06-22 09:00:00,293.12,19.97,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-22 08:36:28.549502,2025-06-22 08:39:02.232116,False
82,2025-06-22 12:00:00,294.35,21.20,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-22 08:36:28.579577,2025-06-22 08:39:02.239310,False
83,2025-06-22 15:00:00,293.48,20.33,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-22 08:36:28.583533,2025-06-22 08:39:02.241822,False
84,2025-06-22 09:00:00,293.22,20.07,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-22 08:39:02.232116,2025-06-22 08:44:12.887187,False
85,2025-06-22 12:00:00,294.42,21.27,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-22 08:39:02.239310,2025-06-22 08:44:12.898177,False
86,2025-06-22 15:00:00,293.51,20.36,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-22 08:39:02.241822,2025-06-22 08:44:12.906372,False
87,2025-06-22 09:00:00,293.12,19.97,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-22 08:44:12.887187,2025-06-22 08:45:31.827321,False
88,2025-06-22 12:00:00,294.35,21.20,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-22 08:44:12.898177,2025-06-22 08:45:31.964554,False
89,2025-06-22 15:00:00,293.48,20.33,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-22 08:44:12.906372,2025-06-22 08:45:31.967381,False
90,2025-06-22 09:00:00,293.22,20.07,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-22 08:45:31.827321,2025-06-22 09:03:43.766743,False
93,2025-06-22 09:00:00,293.97,20.82,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-22 09:03:43.766743,,True
91,2025-06-22 12:00:00,294.42,21.27,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-22 08:45:31.964554,2025-06-22 09:03:43.935760,False
94,2025-06-22 12:00:00,294.94,21.79,"{'weather': 'Clouds', 'description': 'few clouds'}",2025-06-22 09:03:43.935760,,True
92,2025-06-22 15:00:00,293.51,20.36,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-22 08:45:31.967381,2025-06-22 09:03:43.938571,False
95,2025-06-22 15:00:00,293.76,20.61,"{'weather': 'Clouds', 'description': 'broken clouds'}",2025-06-22 09:03:43.938571,,True
